,Datetime,Tweet Id,Text,Retweet Count,Followers,Likes,Username
0,2019-07-14 07:28:49+00:00,1150306139445354497,I used to: Bought $AAPL-&gt;bought iPhone-&gt;bought more $AAPL-&gt;bought iPhone iPad-&gt;bought even more $AAPL-&gt;bought MacBook Pro...Now I amBought $TSLA-&gt;bought Model 3-&gt;bought more $TSLA-&gt;ordered Model Y-&gt;bought even more $TSLA-&gt;ordered Tesla Solar-&gt;going to order Model X &amp; Pickup,32,191009,458,vincent13031925
1,2019-06-26 12:29:40+00:00,1143858866108522496,Apple bought autonomous vehicle start-up https://t.co/PupSpCDia4 - spending more money on their failed autonomous car project.  It’s absurd they don’t invest in Tesla. $tsla $aapl  https://t.co/3Gqu4JdBVu,17,274911,233,GerberKawasaki
2,2019-06-18 11:35:13+00:00,1140946061491675136,"If it follows the $AAPL model, as competition revs up $TSLA will lose share of units but will account for 80-90% of the profits in the #EV space.  Sounds right to me.",48,1502384,370,CathieDWood
