,Datetime,Tweet Id,Text,Retweet Count,Followers,Likes,Username
0,2019-12-02 18:08:01+00:00,1201563685321359361,$AAPL worth more than energy...all of it https://t.co/P9Yv8LgpAc,96,23192,229,pineconemacro
1,2019-11-22 16:28:21+00:00,1197914723959873538,Cool graphic by @LeutholdGroup showing $AAPL along with the other stocks in recent history that have reached a 4% weighting in the S&amp;P 500 - and how long each managed to stay above that level. https://t.co/yxCGPOjIlU,64,97743,173,michaelsantoli
2,2019-11-21 15:28:50+00:00,1197537358930825216,"Satya Nadella’s turnaround of Microsoft should have his name etched in history alongside CEOs like Jack Welch &amp; Steve Jobs. The fact this has happened while avoiding big tech backlash hitting $GOOG, $FB, $AAPL &amp; $AMZN makes it even more amazing.https://t.co/rJVMcpv5a7",88,108556,346,Carnage4Life
3,2019-11-21 12:57:11+00:00,1197499196615614465,2013.(h/t @IvanTheK) $AAPL,45,392498,169,carlquintanilla
4,2019-11-17 21:38:36+00:00,1196180863999971328,"My dream last nightBought 1200 $AAPL Calls, stock spiked and was up over a million dollarsThen my system crashed and I couldn't get out of my positionWhen system came back online I had lost it all and was down six figuresWoke up in a panicEver have ""the trading dream""?",16,78873,281,OpenOutcrier
5,2019-11-17 13:28:43+00:00,1196057580319195136,This is my current watchlist:$AAPL$ADBE$AGQ$AMZN$BRK.B$CELG$DIA$DIS$ETSY$FB$GLD$GOOGL$GS$IWB$IWC$IWM$MA$QQQ$SPY$VIXWhat am I missing?,63,487409,376,SJosephBurns
6,2019-11-15 18:06:17+00:00,1195402654869942272,I haven’t seen excitement around a product launch since Steve Jobs introduced the iPhone. #tesla #Cybertruck $tsla $aapl #apple,53,274911,503,GerberKawasaki
7,2019-11-15 00:24:41+00:00,1195135497368166400,This is my current watchlist:$AAPL$ADBE$AGQ$AMZN$BRK.B$CELG$DIA$DIS$ETSY$FB$GLD$GOOGL$GS$IWB$IWC$IWM$MA$QQQ$SPY$VIXWhat am I missing?,80,487409,574,SJosephBurns
8,2019-11-05 18:50:52+00:00,1191789997940203522,BRB...opening up Robinhood account so I can take $AAPL private,30,308521,537,RampCapitalLLC
