,Datetime,Tweet Id,Text,Retweet Count,Followers,Likes,Username
0,2020-12-28 21:02:01+00:00,1343663520022462467,First closing record for $AAPL since Sept. 1,24,28533,284,SarahPonczek
1,2020-12-28 15:15:31+00:00,1343576319318253568,"6/ For “analysis,” he relies on simple backward-looking valuation exercises similar to what $TSLAQ puts out, such as what $TSLA is worth vs legacy auto mfrs (even though $AAPL, $AMZN, $GOOG, Rivian are the likely competitors), 2020 YoY market share changes, and 2020 P/E ratios.",10,251238,364,garyblack00
2,2020-12-27 17:43:45+00:00,1343251233914675200,"$NIO new car being released in 2021 battery swap technology, no more waiting 30+ minutes to charge; battery swap 3 minutes 😳 no other company in the World is doing this. Fact! $TSLA $AAPL $AMZN $XPEV $LI $IDEX $RIDE gotta love those patents 🚀 licensing deals will come 🤑 https://t.co/2HF2ddcOWs",83,23188,667,DCDOWORK
3,2020-12-27 16:46:39+00:00,1343236864556326912,If $AAPL was valued at the same P/E ratio as $TSLA it would have a market cap of $73.9 trillion. That would make it the biggest company in the world! Massive bull case,125,561977,1987,ParikPatelCFA
4,2020-12-27 01:56:57+00:00,1343012966581592064,Things I enjoy around my house portfolio with 1 year stock returns:Iphone - $AAPL 86%Peloton - $PTON 465%Roomba - $IRBT 69%Yeti coffee mug - $YETI 112%Netflix - $NFLX 55%Comfy pants -  $LULU 53%My couch - $RH 109%Buy what you love!!,38,57418,528,BahamaBen9
5,2020-12-27 01:10:13+00:00,1343001205535027207,Apple $AAPL concept car making Tesla $TSLA fractional shareholders contemplate life https://t.co/gHIffyasvE,133,63178,833,EnronChairman
6,2020-12-27 00:57:33+00:00,1342998017503326208,What are the strongest cults or cult-like companies that are forming right now? If we can work together to identify them before the market does you know what happens thereafter... Ex: $ALGN $PTON $BTC $TSLA $CMG $AAPL $LULU,20,27708,227,FintwitPeaked
7,2020-12-26 23:13:19+00:00,1342971783289438208,Market capsApple $AAPL $2.2 trillionMicrosoft $MSFT $1.6 trillionAmazon $AMZN $1.5 trillionGoogle $GOOGL $1.1 trillionFacebook $FB $760 billionTesla $TSLA $660 billionAlibaba $BABA $600 billionBerkshire Hathaway $530 billion#Bitcoin $490 billionVisa $V $487 billion,165,561487,790,tradingview
8,2020-12-26 21:38:45+00:00,1342947985534058496,Some predictions for 2021:1) $ZM hardware2) No big $AAPL acquisition3) Offices 📉4) Fractional home ownership 🏡📈5) Companies buy #Bitcoin6) $ETSY $50B7) Rebundling back to $NFLX8) $SHOP equity crowdfunding9) Bitcoin $100k10) Alternative assets 🚀Here's why 👇👇👇,146,12957,1213,David_Kretzmann
9,2020-12-25 23:32:29+00:00,1342614220253188096,Last 5 years$GOOGL 128%$WMT 136%$FB 155%$CRM 190%$MSFT 297%$NFLX 338%$MU 383%$AAPL 389%$LRCX 498%$NOW 537%$PYPL 544%$TWLO 1093%$TSLA 1335%$NVDA 1467%$SQ 1712%$ROKU 1819%$AMD 3044%$TTD 3385%$SHOP 4628%Which stock will bring 1000%+ next 5 years? 🧐,136,12628,881,PeterTrader99
10,2020-12-25 23:07:53+00:00,1342608031113068544,A quick analysis of 36 stocks that Cathie Wood's 5 ETFs bought this week shows most money went into these 10 stocks:$SHOP  ~$110M$VEEV      $78M$GOOGL  $71M$AAPL      $53M$RHHBY   $50M$TDOC     $42M$TCEHY    $20M$REGN      $19M$BABA      $17M$NVDA      $16M,99,71574,515,HedgeMind
11,2020-12-24 23:43:21+00:00,1342254568084791297,"Forrest Gump debuted in 1996. The title character invested a presumed $100k in Apple Computer. If real, that investment would be worth a massive $56.6 billion. $AAPLForrest Gump is the greatest stock picker ever! He literally bought decades before Warren Buffet.",107,57418,1388,BahamaBen9
12,2020-12-24 21:12:26+00:00,1342216588909547523,Surprise your kids by putting a share of $AAPL$ATVI$DIS$EA$NTDOY$SE$TCENY$TTWO under the tree this year,51,405603,666,BrianFeroldi
13,2020-12-24 16:00:22+00:00,1342138054568411138,"🎅🎅🎅Dear Santa,📜 12 Dividend Stocks I Want for Christmas:🎁 $V 🎁 $PG 🎁 $JNJ 🎁 $PEP 🎁 $BEP 🎁 $AFL 🎁 $WM 🎁 $MCD 🎁 $AAPL 🎁 $ABBV 🎁 $MSFT 🎁 $MMM",24,55423,263,BusinessFamous
14,2020-12-24 15:24:18+00:00,1342128977188536322,End of Year Updated Portfolio ( Not planning any changes until 2021):1. $TDOC 2. $SE 3. $ROKU 4. $PINS 5. $SKLZ 6. $NET 7. $DDOG 8. $GDRX 9. $SHOP 10. $PTON 11. $PLTR 12. $FB 13. $TWLO 14. $RKT 15. $AMZNAlso hold $MGNI $NVTA $AAPL $NFLX in smaller portions,42,25288,456,Soumyazen
15,2020-12-24 13:22:32+00:00,1342098333406527491,"What Tesla makes in free cash flow in a year, Apple makes in 10 days:   https://t.co/Hh3sLIrSxJ via @bopinion $TSLA $AAPL",47,17225,285,liamdenning
16,2020-12-23 21:36:50+00:00,1341860340737327109,"New SCOOP/rumor on the Apple EV ⚡️🔋 $AAPL-Apple EV battery pack dev &amp; testing moving quickly, probably already testing on roads-312 cells in a pack, no cobalt-built by Toshiba, 10-20% weight Lithium Titanate, Project Titan ;)full livestream 🔥⏩  https://t.co/OVQkIrjDcj",25,38484,333,HyperChangeTV
17,2020-12-23 20:14:18+00:00,1341839570896207873,Been schemin like crazy since I woke up! Haven’t even had coffee yet but I’ve got some next level ideas on where this $AAPL/ $TSLA future EV battle royale is headed ;) going live in 25 mins to give my rant (has 3-4 moonshots in it lol) https://t.co/nMe7KFRbRj,8,104554,220,Gfilche
18,2020-12-23 17:55:55+00:00,1341804743643959296,"Apple Poses No Fundamental Threat to Tesla, Says Loup Ventures$TSLA $AAPLhttps://t.co/JhlJTJB8Rv",26,191009,344,vincent13031925
19,2020-12-23 17:44:46+00:00,1341801940729131009,"Two of the largest sectors of the U.S. economy are primed for disruption; Real estate and healthcare.*My top secular growth industry picks for 2021*Real estate - $RDFN, $Z, $OPEN, $EXPI, $BEKEHealthcare - $TDOC, $ARKG, $CRSP, $HAACU, $AMWL, $AAPL, $PTON, $AMZN",22,57418,296,BahamaBen9
20,2020-12-23 16:56:20+00:00,1341789752433885185,Tesla thoughts and competition. Come on Apple. You don’t have a car. $tsla $aapl,25,274911,420,GerberKawasaki
21,2020-12-23 15:05:49+00:00,1341761938557198339,"5/ $TSLA controlled most aspects of manufacturing a bubble-look $AAPL-designed iCar that doesn’t compete with TSLA’s premium offerings, it could be a win-win for both companies. I believe both stocks would soar on the news.",16,251238,263,garyblack00
22,2020-12-23 15:05:48+00:00,1341761932722905089,"The media, as usual, is missing the most intriguing aspect of the story about @elonmusk calling Tim Cook in 2018 about a potential merger.  Would $TSLA and $AAPL be interested in a strategic partnership now?  I would think they might.",39,251238,510,garyblack00
23,2020-12-23 06:49:29+00:00,1341637032783695872,"My thought of the Apple Car:1. It’s not gonna be as affordable as $TSLA, so, not direct competitor.2. Mass production is not as simple as WallSt analysts thought.3. Real world data differences.4. Tesla’s mission drives unstoppable innovation, not so much in $AAPL",68,191009,1047,vincent13031925
24,2020-12-23 05:48:35+00:00,1341621706608304130,"Happily for $TSLA investors, @tim_cook missed the reincarnation of $AAPL when @elonmusk approached him while experiencing “production hell” with the Model3. An #EV is the ultimate mobile device.",813,1502385,8439,CathieDWood
25,2020-12-23 04:45:16+00:00,1341605773596618752,"$AAPL's Mission Statement:""to bring the best personal computing products and support to students, educators, designers, scientists, engineers, businesspersons and consumers in over 140 countries around the world.""$TSLA 👇🏻 https://t.co/whFUiuMxof",37,10409,432,ChrisDungeon
26,2020-12-22 23:30:29+00:00,1341526554598203394,I just puked in my mouth.  Thanks @elonmusk #apple #tesla $aapl $tsla,9,274911,391,GerberKawasaki
27,2020-12-22 21:42:00+00:00,1341499251386400768,*TESLA CEO ELON MUSK CONFIRMS HE REACHED OUT TO APPLE OVER POSSIBLE ACQUISITION*MUSK SAYS APPLE'S COOK HAD REFUSED TO TAKE MEETING$TSLA$AAPL,76,913296,495,Investingcom
28,2020-12-22 20:57:36+00:00,1341488081514409985,"@elonmusk @wintonARK Since the start of 2017, $TSLA is up more than 1,420%.Over the same 4-year span, $AAPL isn’t even up 420%. Sad! https://t.co/H8pJvRnTTz",13,119081,409,ICannot_Enough
29,2020-12-22 20:51:26+00:00,1341486526262366208,*MUSK CONFIRMS HE REACHED OUT TO APPLE OVER POSSIBLE ACQUISITION*MUSK SAYS APPLE'S COOK HAD REFUSED TO TAKE MEETINGhere wo go 🤣$TSLA $AAPL,51,76013,523,cfromhertz
