,Datetime,Tweet Id,Text,Retweet Count,Followers,Likes,Username
0,2022-06-13 14:20:33+00:00,1536352830876958722,Year-to-Date Performance:1. $NFLX: -71%2. $PYPL: -61%3. $FB: -50%4. $NVDA: -48%5. $TSLA: -46%6. $F: -45%7. $AMZN: -39%8. $AAPL: -27%9. $MSFT: -26%10. $GOOGL: -26%Over 80% of technology stocks are officially in a bear market.Just wait until deflation hits.,70,161779,297,KobeissiLetter
1,2022-06-13 09:58:36+00:00,1536286910401978372,"FAANG SHARES FALL IN PREMARKET TRADE AS FUTURES DROP ON AGGRESSIVE RATE HIKE BETSAMAZON DOWN 3.6%, NETFLIX DOWN 3.4%, ALPHABET DOWN 3.3%, APPLE AND META SHARES DOWN 3%$AMZN $NFLX $GOOGL $AAPL $META",44,619341,226,DeItaone
2,2022-06-13 03:17:08+00:00,1536185875243143172,"Large Cap Tech $AMZN $AAPL $MSFT Denial phase IMO Growth: $RIVN $AFRM $ZM Approaching Depression, IMO bottom is at or near current local lows from May 12th. Damage has been done there. Disconnect has already begun if you’ve been paying attention. https://t.co/dLqvdPWn81",32,115052,228,notmrmanziel
3,2022-06-13 01:05:58+00:00,1536152866972438528,"Instead of ""bull market"" vs ""bear market""think: ""seller's market"" vs ""buyer's market""2022 returns:$GOOG -23%$MSFT -24%$AAPL -24%$AMZN -36%$TSLA -42%$NVDA -44%$MELI -48%$FB -48%$PLTR -55%$SQ -56%$SNOW -63%$U -73%$SHOP -74%Building wealth starts by buying low.",87,12584,618,TickerSymbolYOU
4,2022-06-12 20:22:22+00:00,1536081496125190144,WE WILL FOLLOW OUR RULES THIS WEEK:•RESPECT STOP LOSSES•TAKE PROFIT•RISK:REWARD BASED TRADES•NO FOMO OR IMPULSE TRADES•NO GAMBLING$SPY $QQQ $TSLA $AAPL,30,36177,318,MapleStax
5,2022-06-12 20:04:13+00:00,1536076927362027526,"How to set yourself up for success this week🙌📈✅ Pick a handful of stocks to focus on. ( $spy, $aapl, $tsla, etc)✅ Chart their key levels and supply &amp; demand zones.✅ Plan where you will enter and exit your trades.✅ Don’t get greedy. 25%-30% is a good target.",47,44821,422,BobaTrader
6,2022-06-12 18:38:37+00:00,1536055386649812993,2022 Returns$TWTR: -10%$AAPL: -23%$GOOG: -23%$MSFT: -24%$CRM: -30%$ADBE: -31%$TSLA: -34%$AMD: -34%$AMZN: -34%$ZM: -41%$NVDA: -42%$META: -48%$MRNA: -50%$TEAM: -52%$SQ: -56%$SPOT: -56%$PYPL: -58%$SNOW: -64%$ETSY: -65%$NFLX: -70%$SNAP: -72%$W: -73%$SHOP: -75%,613,492315,2294,charliebilello
7,2022-06-11 00:52:36+00:00,1535424725526413312,"Yes, i’ve been negative and think a massive crash will come. Been very vocal to protect you guys. But inside, I’m an optimist. I bought $tsla when it was going bankrupt, i bought $aapl when china sales was 💩, bought the covid dip etcThis is not the time to be one.",98,120895,2450,pakpakchicken
8,2022-06-10 23:29:28+00:00,1535403804799148033,Apple banning cloud gaming apps like XBox Game Pass (for the spurious reason they can’t review every game) and requiring every browser must use WebKit on iOS have both been declared anticompetitive by the UK’s competition authority.The monopoly👑is $AAPLhttps://t.co/LjDoDkRtWt,46,108556,238,Carnage4Life
9,2022-06-10 23:00:51+00:00,1535396603367895040,The tesla model s plaid with FSD 12 + software is one of the most impressive creations of hardware and software in history. Steve Jobs would be in awe. @elonmusk $TSLA $AAPL #iPhone13,169,274911,2048,GerberKawasaki
10,2022-06-10 20:41:33+00:00,1535361547337404424,STUDY THESE CHART PATTERNS!$SPY $QQQ $TSLA $AAPL https://t.co/BwmhUapFf3,130,36177,725,MapleStax
11,2022-06-10 20:29:33+00:00,1535358530827366400,"💭 Alright, 3500 ❤️ (Less than 10% of followers) I will send over the weekly report to everyone. Bonus for $TSLA 3-1 split. 💰$SPY $QQQ $AAPL",20,60749,646,ProblemSniper
12,2022-06-10 18:59:29+00:00,1535335862933901325,I mean $XOM $CVX and $COP combined earned ~$45 billion less than $AAPL the last year or so,64,25183,474,lhamtil
13,2022-06-10 16:27:13+00:00,1535297544619806722,APPLE INC CEO TIM COOK SENDS LETTER TO U.S. LAWMAKERS URGING THEM 'TO ADVANCE COMPREHENSIVE PRIVACY LEGISLATION AS SOON AS POSSIBLE' - LETTER SEEN BY REUTERS$AAPL,47,619341,231,DeItaone
14,2022-06-10 15:41:00+00:00,1535285914418782210,"Year-to-Date Performance:1. $NFLX: -70%2. $PYPL: -60%3. $FB: -48%4. $NVDA: -44%5. $TSLA: -43%6. $F: -42%7. $AMZN: -36%8. $AAPL: -25%9. $MSFT: -24%10. $GOOGL: -24%Meanwhile, $SPX is currently down just 19% YTD.What could possibly be holding this market up?",356,161779,1414,KobeissiLetter
15,2022-06-09 23:45:00+00:00,1535045326637236226,$AAPL planning to fund Apple Pay Later loans off its corporate balance sheet,20,293971,345,MarketRebels
16,2022-06-09 22:00:50+00:00,1535019111897616396,"I was the first one to call that the BNPL users will default massively this was last Fall. Now $AAPL getting into BNPL, less product innovations, more financial fingering.I am now calling $AAPL stock to fall below 100 dollar, now 146 dollar . I became 🐻 at 180!Not 0DTE.",28,137385,372,TicTocTick
17,2022-06-09 09:41:24+00:00,1534833029889560576,"$BABA is up 14.67% today. It is up &gt;50% from the low in March and breakeven YTD.If 12 months ago you told someone $BABA would outperform $AMZN, $FB, $GOOGL, $MSFT &amp; $AAPL for the first half of 2022, they would have laughed. The tide has turned.",22,24391,316,lonewolvesfrank
18,2022-06-09 04:24:46+00:00,1534753344530665472,*APPLE TO HANDLE LENDING ITSELF FOR NEW APPLE PAY LATER PROGRAM$AAPL https://t.co/k3MMOijkun,42,913296,317,Investingcom
19,2022-06-08 21:30:52+00:00,1534649185563205637,"Honestly. The happiest I’ve ever been trading was when I was making $50 a day trading $AAPL. I was confident, and I was consistent. Now I’m feeling insecure and all over the place. I’m going to start again tomorrow if you guys want to join me you’re more than welcome.",5,12354,393,Penny_Lane_BBM
20,2022-06-08 20:20:31+00:00,1534631477874503692,Want to perfect trading Head &amp; Shoulders patterns? Study this! $SPY $QQQ $TSLA $AAPL https://t.co/sq0a7lM3E8,67,36177,353,MapleStax
21,2022-06-08 20:02:13+00:00,1534626872444694528,$AAPL to handle own lending for pay later service.,21,933961,248,unusual_whales
22,2022-06-08 20:00:16+00:00,1534626381849677825,*APPLE TO HANDLE LENDING ITSELF FOR NEW APPLE PAY LATER PROGRAM$AAPL,42,619341,533,DeItaone
23,2022-06-08 14:19:14+00:00,1534540558265368576,The greed of peep knows no bounds buying $aapl 150 just because Tim Cook launched a new Blue MacBook? I will buy at 100 no thanks 🙏,13,137385,424,TicTocTick
24,2022-06-08 13:28:29+00:00,1534527790178967553,"Legacy automakers thinking of letting Apple or Google handle their car software because they can’t do it, ask yourself this:Would Apple ever allow another company’s software interface to run on their own car? Why or why not? $AAPL",7,180865,229,WholeMarsBlog
25,2022-06-08 01:24:14+00:00,1534345522705727489,"AFFIRM CEO: NOT WORRIED ABOUT $AAPL ENTERING BUY NOW, PAY LATER BC ITS ALREADY A HEAVY SATURATED MARKET WITH TERRIBLE ECONOMICS",86,42363,1998,DeepSailCapital
26,2022-06-07 19:25:57+00:00,1534255360856535041,$GOOG and $AAPL will be big shoes 👠  to drop next.,29,137385,466,TicTocTick
27,2022-06-07 18:56:52+00:00,1534248042580393990,Nancy Pelosi's husband purchased $2.1M worth of $AAPL and $MSFT calls. Bullish.,167,293971,1427,MarketRebels
28,2022-06-07 16:24:30+00:00,1534209697053564929,"I might not agree with him on #Bitcoin, but @saylor had a brilliant take on $aapl at a fraction of the current price. And he shares his take on being an expert in something rather than sharing less expert opinions about many things, which is something I strive towards with #oil.",11,64610,179,Josh_Young_1
29,2022-06-07 15:13:49+00:00,1534191908217569281,*U.S. HOUSE SPEAKER PELOSI DISCLOSES $2.1M TRADES IN APPLE AND MICROSOFT - https://t.co/vbEi85lpe1 $AAPL $MSFT https://t.co/Z5WhTV6lqT,44,913296,260,Investingcom
30,2022-06-07 12:34:32+00:00,1534151823036059648,"Apple, $AAPL, will have to change the connector on iPhones sold in Europe by 2024 after EU countries and lawmakers agreed to a single mobile charging port for mobile phones, tablets and cameras in a world first.",85,933961,957,unusual_whales
31,2022-06-06 23:23:15+00:00,1533952691650666497,$AAPL must be the most conniving market-power-abusing monopolistic companies in the world. I don’t know how you can be bearish on it.,3,31854,218,plantmath1
32,2022-06-06 21:52:39+00:00,1533929889816055808,Everything you need to know about the future of the auto industry in one post. $F $TSLA $AAPL https://t.co/r2wZGBLsVK,44,180865,365,WholeMarsBlog
33,2022-06-06 21:09:23+00:00,1533919001352540165,"Study these bullish patterns! You can inverse them for bearish patterns, TA is universal! $SPY $QQQ $TSLA $AAPL https://t.co/laBACzuKoO",110,36177,542,MapleStax
34,2022-06-06 21:03:02+00:00,1533917404912201728,Did apple announce something today... must have fallen asleep. $AAPL,11,274911,306,GerberKawasaki
35,2022-06-06 19:31:22+00:00,1533894333430214656,How can $AAPL possibly be lower with such groundbreaking announcements !?.,18,376922,402,GuyAdami
36,2022-06-06 18:22:43+00:00,1533877056727003136,$AAPL states it will likely get rid of traditional passwords with Passkeys using device biometrics.,20,933961,247,unusual_whales
37,2022-06-06 18:13:54+00:00,1533874840360435714,*APPLE IOS 16 WILL HAVE NEW LOCK SCREEN IN BIGGEST UPDATE*APPLE MESSAGES TO INCLUDE ABILITY TO `UNSEND'$AAPL https://t.co/hadAIBLQYM,33,913296,240,Investingcom
38,2022-06-06 17:29:24+00:00,1533863642323509248,$AAPL buy now pay later service.,28,933962,303,unusual_whales
39,2022-06-06 17:22:55+00:00,1533862010072489985,"$AAPL announces 'Apple Pay Later,' which allows you to pay for goods over the course of four transactions",93,293971,728,MarketRebels
40,2022-06-06 17:15:05+00:00,1533860036539080704,$AAPL literally just saved millions of future relationships by adding in an un-do send option for iMessage.,23,18823,350,joecarlsonshow
41,2022-06-06 17:14:29+00:00,1533859887679143939,$AAPL allowing edits to iMessage:,45,933962,446,unusual_whales
42,2022-06-06 15:48:31+00:00,1533838252712464384,"The U.S. Food and Drug Administration has granted approval to a new Apple, $AAPL, atrial fibrillation feature just hours before the company's #WWDC22  keynote.",71,933962,367,unusual_whales
43,2022-06-06 14:35:17+00:00,1533819823909654528,"Nancy Pelosi’s trading is just uncanny. She literally nailed the exact NASDAQ bottom on May 24th buying those $AAPL and $MSFT calls. I mean… She’s 82yo, yet trades options better than a Citadel algo running on a dedicated $300m mainframe computer.Bingo or Bridge, this is not. https://t.co/CP9WdutUbb",7173,49153,35094,ecommerceshares
