,Datetime,Tweet Id,Text,Retweet Count,Followers,Likes,Username
0,2019-02-20 15:51:18+00:00,1098248738559021056,"The Nasdaq's Big 3 are coiling like serpents!! $AAPL, $AMZN and $GOOGL ... all coiling and ready to attack! https://t.co/caMoUJ7OFe",44,377076,249,traderstewie
1,2019-02-13 02:25:30+00:00,1095509239748022272,% Above 52-week Low...$FB: +34%$AAPL: +20%$AMZN: +25%$NFLX: +55%$GOOGL: +15%% Below All-Time High...$FB: -24%$AAPL: -27%$AMZN: -20%$NFLX: -15%$GOOGL: -13%,52,492316,160,charliebilello
2,2019-02-05 14:49:18+00:00,1092797320205422592,Apple biggest company again.. hmmm. where are those $147 sellers?? Hello?? $AAPL,40,1959757,364,jimcramer
3,2019-02-05 03:22:19+00:00,1092624434538663936,"Revenue Growth, year-over-year (%)...$FB: +30.4%$NFLX: +27.4%$GOOGL: +21.5%$AMZN: +19.8%$MSFT: +12.3%$AAPL: -4.5% https://t.co/M2E47bdmar",125,492316,280,charliebilello
4,2019-01-31 21:35:49+00:00,1091087681646407680,"Since its IPO in 1997, Amazon has made $20 billion in cumulative net income. Apple made $20 billion in net income last quarter alone.Amazon market cap: $840 billion (largest company in the world).Apple market cap: $787 billion.$AMZN $AAPL",700,492316,2388,charliebilello
5,2019-01-31 21:12:50+00:00,1091081899353751554,January...S&amp;P 500: +8%Dow: +7%Nasdaq 100: +9%Russell 2000: +11%Crude Oil: +19%$FB: +27%$AAPL: +5%$AMZN: +14%$NFLX: +27%$GOOGL: +8%$C: +24%$GS: +19%$MS: +7%$BAC: +16%$JPM: +7%***Gold: +3%High Yield Bonds: +5%Agg Bonds: +1%REITs: +12%Volatility Index $VIX: -35%,299,492316,729,charliebilello
6,2019-01-30 14:16:14+00:00,1090614668207415310,I’ve decided to try Tim Cook’s guide down strategy for life. I told my wife I’ll probably miss dinner tonight. Then I show up and she’s stoked.  #apple $aapl,16,274911,140,GerberKawasaki
7,2019-01-30 04:21:16+00:00,1090464942812209155,"$AAPL up 6% and $ES only up 4 measly handles?Fk this bout to take the week off hit the gym for 3 days straight for an intense trainingAnd by gym I mean head out to the rainforest in #PuertoRico, do ayahuasca , throw up the stock market from my soul and then start my life over",11,58915,218,sanglucci
8,2019-01-29 22:26:50+00:00,1090375743933202433,I have added to $AAPL short at $164 and to $QQQ at $163,15,113361,185,DougKass
9,2019-01-29 22:13:24+00:00,1090372365165318144,Just a reminder $AAPL missed original December quarter EPS estimates by $0.65 or 14%.,33,13121,127,GS_CapSF
10,2019-01-29 22:12:43+00:00,1090372194088222727,Apple Net Income (Billions)...2018: 592017: 482016: 462015: 532014: 402013: 372012: 422011: 262010: 142009: 8.22008: 6.12007: 3.52006: 2.02005: 1.32004: 0.32003: 0.072002: 0.072001: -0.032000: 0.81999: 0.61998: 0.31997: -1.01996: -0.81995: 0.4$AAPL,67,492316,184,charliebilello
11,2019-01-29 22:02:25+00:00,1090369602486448128,Apple Revenue (Billions)...2018: 2622017: 2292016: 2162015: 2342014: 1832013: 1712012: 1572011: 1082010: 652009: 432008: 372007: 252006: 192005: 142004: 8.32003: 6.22002: 5.72001: 5.42000: 8.01999: 6.11998: 5.91997: 7.11996: 9.81995: 11$AAPL,542,492316,1679,charliebilello
12,2019-01-29 21:51:00+00:00,1090366728704389120,$AAPL's earnings per share went up purely because reduced total shares used  due to share buyback as financial data shows. Both revs and EPS would be negative growth y/y if no share buyback.  https://t.co/5Iw3Sunkj5 https://t.co/g8EEncapeX,113,71574,264,HedgeMind
13,2019-01-29 21:32:55+00:00,1090362178220318721,$AAPL trading at levels not seen since 3 hours ago,13,308521,278,RampCapitalLLC
14,2019-01-29 21:30:13+00:00,1090361495278493697,EARNINGS ALERT: Apple Q1 EPS $4.18 vs. $4.17 Est.; Q1 Revs. $84.3 vs. $83.97B Est. • $AAPL https://t.co/bOn3oOXOZZ https://t.co/aD0J7uzqap,162,775388,185,CNBCnow
15,2019-01-29 21:19:13+00:00,1090358730351366144,People who short $AAPL are probably anti-vaxxers too,14,308521,165,RampCapitalLLC
16,2019-01-29 21:14:53+00:00,1090357638993530883,Just know if you are betting against $AAPL you are betting against America and freedom,23,308521,357,RampCapitalLLC
17,2019-01-29 19:24:17+00:00,1090329806846205958,I have my crying Jordan $AAPL memes queued up just in case,7,308521,185,RampCapitalLLC
