,Datetime,Tweet Id,Text,Retweet Count,Followers,Likes,Username
0,2022-03-19 16:21:18+00:00,1505217860834152449,"Retornos en los últimos 10 años...Bitcoin $BTC: +890,500%Tesla $TSLA: +12,717%Netflix $NFLX: +2,323%Amazon $AMZN: +1,643%Domino's $DPZ: 1,137%Microsoft $MSFT: +1,033%Apple $AAPL: +816%Google $GOOGL: +770%S&amp;P 500 $SPY: +283%Gold $GLD: +4%@charliebilello",92,196785,406,Techconcatalina
1,2022-03-19 14:10:47+00:00,1505185017026260996,"It's never too late to start - we started this IRA account in 2014, when I was 35 years old.I adjust holdings seldomly. This year, I'll be replacing $TWith...?Holdings:$AAPL $AMZN $COST $CVS $DIS $FB $GOOGL $HD $JNJ $JPM $MSFT $NFLX $PG $SBUX $T $TDOC $TGT $V $VZ $WMT",43,134283,284,cperruna
2,2022-03-19 11:16:39+00:00,1505141193935622146,"Returns, Last 10 Years...Bitcoin $BTC: +890,500%Tesla $TSLA: +12,717%NVIDIA $NVDA: +7,791%Netflix $NFLX: +2,323%Amazon $AMZN: +1,643%AMD $AMD: +1,284%Domino's $DPZ: 1,137%Microsoft $MSFT: +1,033%Apple $AAPL: +816%Google $GOOGL: +770%S&amp;P 500 $SPY: +283%Gold $GLD: +4%",631,492316,2707,charliebilello
3,2022-03-15 15:38:44+00:00,1503757597320650758,If your time horizon is 10 years…☁️: $MSFT ⚡️🏎: $TSLA 🔎☁️: $GOOGL🌎: $ABNB🌥: $NET 🎮: $NVDA 📱💻: $AAPL ❄️: $SNOW ⛓: $COIN 🛒🕹: $SE What 10 stocks would you want? (Not advice). Comment 👇,51,11273,442,AviNMash
4,2022-03-15 14:35:00+00:00,1503741558302068747,💵 10 BUY and HOLD STOCKS$JNJ$AAPL$GOOGL$ABBV$O$HD$MSFT$AMT$NVDA$COST,50,81638,331,Dividend_Dollar
5,2022-03-12 19:15:06+00:00,1502724886816514048,Is 𝐫𝐞𝐜𝐞𝐬𝐬𝐢𝐨𝐧 imminent? In this thread I'll discuss some factors worth noting:• Inflation• Macro policy shift• Commodity pricing• Operating margins• Market conditions~Avg recession only lasts 11 months. $QQQ $AAPL $TSLA $MSFT $GOOGL $NVDA https://t.co/ObSa3TGbx8,97,33592,415,rhemrajani9
6,2022-03-12 12:29:39+00:00,1502622849810501636,$VOO ($816.6B assets) Vanguard S&amp;P 500 ETF track the performance of investment return of large-capitalization stocks.Top 10 holdings: 30.10% of total net assets.1- $AAPL2- $MSFT3- $GOOGL4- $AMZN5- $TSLA6- $FB7- $NVDA8- $BRK.A9- $JNJ10- $UNH Expense ratio 0.03%,20,59537,155,TD_Investor
7,2022-03-11 11:59:25+00:00,1502252853481639946,"""I have millions of dollars--20% of my portfolio is now in #cryptocurrencies and blockchains,"" says @kevinolearytv. ""If you own $MSFT, if you own $GOOGL. Why don't you own #bitcoin?"" https://t.co/gGVnCQARMz",84,404311,238,SquawkCNBC
8,2022-03-11 03:05:51+00:00,1502118579017175040,$GOOGL Deutsche Bank Initiates at Buy PT $3150,20,69125,316,BigBullCap
9,2022-03-11 00:49:50+00:00,1502084349092675585,Volatile times usually create great opportunity. Think it’s more crucial to have a 📝 watchlist than ever: M͟e 👇:$NVDA$ABNB $COIN$GOOGL $MSFT $TSLA$CRWD $SNOW Comment below w yours 👇 - $QQQ,29,33592,402,rhemrajani9
10,2022-03-09 21:59:28+00:00,1501679086485258243,"$AMZN Announced 20-1 Split and 10 Bil BuybackCome summers $AMZN $GOOGL will be trading in $150-200 Range along with $AAPL!More liquidity, Bigger Float plus will have lot of Fomo",71,300586,612,ripster47
11,2022-03-09 15:24:54+00:00,1501579789815140360,YOUTUBE DELETED OLIVER STONE’S DOCUMENTARY ON UKRAINE CALLED ‘UKRAINE ON FIRE’ $GOOGL,147,123934,585,The_Real_Fly
12,2022-03-09 12:08:41+00:00,1501530409598738433,If YOU forced me to hold 5 stocks forever and never sell ..🌹 $TSLA 820🌹 $GOOG $GOOGL 2500 🌹 $MSFT 270 🌹 $AMZN 2700 🌹 $PLTR 10 You?,91,137385,1055,TicTocTick
13,2022-03-08 16:08:29+00:00,1501228368922312706,#stocks you will wish you had purchased at these levels or lower in 5+ years:$CRWD$ZS$SNOW$PYPL$UPST$COIN$CFLT$RBLX$AMZN$GOOGL$NVDA$AMD$Uwhat others?,79,19774,653,FIREDUpWealth
14,2022-03-08 08:00:01+00:00,1501105441165565952,"$GOOGL YouTube is offering podcasters up to $50,000 to record their podcasts as videos",48,293971,461,MarketRebels
15,2022-03-07 20:57:48+00:00,1500938789925048322,$GOOG $GOOGL now trading at a PE of 22.5 which is the second lowest of the FAANG names$AAPL 26.5$AMZN 42.6$MSFT 29.7$NFLX 32.9$FB 13.6,33,22570,317,_El_Profesorr
16,2022-03-07 20:39:58+00:00,1500934301147439105,"GOOGLE IN TALKS TO BUY MANDIANT, A $4.5 BILLION CYBERSECURITY FIRM - THE INFORMATION$GOOGL",75,619341,456,DeItaone
17,2022-03-05 18:35:46+00:00,1500178270385549315,Solid companies that have returned over 20% CAGR in the last 5 years (including current drawdown) and trade under 40x LTM FCF: $CNSWF 5-yr CAGR 28% / P/FCF 27x$GOOGL 25% / 26x$MBUU 25% / 19x$SHW 20% / 35x$CRM 20% / 38x $ADBE 30% / 31x$VEEV 33% / 38x$EVVTY 67% / 32x,18,11477,214,Lion_Investor1
18,2022-03-05 09:09:30+00:00,1500035764704329732,"1/$GOOGL &amp; $FB are the biggest advertising companies in the world. At the beginning of FY21, both companies traded at ~30x EV/EBIT$GOOGL is now ~30% cheaper at 21x EV/EBIT whilst $FB trades ~64% cheaper at 11x EV/EBIT. https://t.co/aKGq4luaUr",47,24391,439,lonewolvesfrank
19,2022-03-03 03:14:49+00:00,1499221730606268416,3 stocks that have the MOST potential to change mankind :1. $GOOGL 2. $TSLA 3. $PLTR4. $DISDo you agree. https://t.co/bzJ6JWjQDm,27,137385,399,TicTocTick
20,2022-03-01 23:15:00+00:00,1498798990393028608,💰 10 Buy and Never Sell Stocks🍎 $AAPL🖥️ $MSFT💊 $JNJ🛠️ $HD☕️ $SBUX📺 $GOOGL🐭 $DIS🏬 $O🛒 $COST🚀 $RTX,74,81638,418,Dividend_Dollar
21,2022-02-27 21:41:17+00:00,1498050631310979076,Mega Tech is yet to fall hard. We have seen $FB puke now let’s see $AAPL $AMZN $MSFT $GOOGL $NVDA chunder,34,131198,520,WifeyAlpha
22,2022-02-27 05:50:54+00:00,1497811460407406592,*GOOGLE SAYS IT IS BARRING RUSSIAN STATE-FUNDED MEDIA FROM RUNNING ADS ACROSS ITS SERVICES - STATEMENT$GOOGL 🇷🇺🇷🇺 https://t.co/ZGXJDVKal0,64,913296,602,Investingcom
23,2022-02-27 04:30:01+00:00,1497791105240387584,$GOOGL says it is banning Russian state media from running ads,112,293971,1299,MarketRebels
24,2022-02-25 16:44:12+00:00,1497251089749581826,Will be a lot more inactive going forward this year but Holdings as below W/ no plans to change.Primary positions (~75%)$TSLA $AMZN $MSFT $FB $GOOGL $AAPLSecondary (22%)$COIN $CLPT $PLTR $XPEL $SQ $ZM $TWTR $CPNG $SE tertiary:$RBLX $STEM $JD.L $PINSBest wishes,26,10934,274,SixSigmaCapital
25,2022-02-25 11:06:33+00:00,1497166119953707032,"I am short Mega Tech via indexes $SPX $NDX and 6 singles $AAPL $AMZN $FB $MSFT $GOOGL $NVDA since December 2021. Hold these positions. Facebook has dumped, the others will follow. 🔥🔥🔥",14,131198,277,WifeyAlpha
