,Datetime,Tweet Id,Text,Retweet Count,Followers,Likes,Username
0,2022-10-03 15:51:28+00:00,1576963151400038401,*TESLA AND GOOGLE SAID TO BE EXPLORING POTENTIAL PARTNERSHIP: SOURCE FAMILIAR WITH THE MATTER$TSLA $GOOGL https://t.co/uiDqCMnX8f,137,913296,682,Investingcom
1,2022-10-03 14:38:24+00:00,1576944765207482369,$TSLA &amp; $GOOGL reportedly exploring possible partnership,153,293971,1348,MarketRebels
2,2022-10-02 09:00:49+00:00,1576497420577689600,"BREAKING: Former Google, $GOOGL CEO and Current $LINK advisor Eric Schmidt says #Chainlink has ""better technology and scales better"" than other cryptocurrency competitors.",48,22318,413,linkchainlink
3,2022-10-01 21:38:02+00:00,1576325592454004738,"Former Google, $GOOGL CEO Eric Schmidt says #Chainlink has ""better technology and scales better"" than other cryptocurrency competitors.",997,1550758,6390,WatcherGuru
4,2022-09-30 20:29:55+00:00,1575946064066400257,Year-to-Date Performance:1. $META: -60%2. $AMZN: -34%3. $AAPL: -24%4. $NFLX: -61%5. $GOOGL: -34%6. $TSLA: -34%7. $PYPL: -56%8. $NKE: -50%9. $NVDA: -60%Over 90% of technology stocks are now in bear market territory.The backbone of the stock market is collapsing.,363,161778,1474,KobeissiLetter
5,2022-09-29 22:55:15+00:00,1575620248966811648,"High quality businesses such as $ADBE $GOOGL $MA $META $MSFT $NKE $PYPL $V are now trading between 1-1.25X NTM PEG ratio! These stocks might decline some more over the near-term, but IMHO that will be a gift for long-term investors. *This isn't a recommendation, do own DD.",99,312544,972,saxena_puru
6,2022-09-29 17:42:49+00:00,1575541623651729408,"Google, $GOOGL, is shutting down its Stadia cloud gaming service.",61,933960,938,unusual_whales
7,2022-09-29 16:13:00+00:00,1575519018030665728,$GOOGL $MSFT &amp; $NVDA are hitting new 52-week lows today,32,293971,263,MarketRebels
8,2022-09-26 20:12:51+00:00,1574492213895217164,Who knows when this market bottoms with lawyer Powell as the Fed chair but I’m seeing stocks like $GOOG $GOOGL now trading for 16x forward earnings and 11x EV/EBITDA.Rarely can you buy a monopoly stock with a 26% return on invested capital at this valuation.,52,297027,565,realwillmeade
9,2022-09-25 14:34:16+00:00,1574044619439865856,Year-to-Date Performance:1. $FB: -59%2. $AAPL: -17%3. $AMZN: -33%4. $NFLX: -62%5. $GOOGL: -32%6. $TSLA: -31%7. $MSFT: -29%8. $DIS: -36%9. $NVDA: -58%10. $BABA: -35%11. $PYPL: -55%Imagine the damage once housing prices crash next.The bubble is officially bursting.,261,161778,1283,KobeissiLetter
