,Datetime,Tweet Id,Text,Retweet Count,Followers,Likes,Username
0,2019-03-21 03:29:30+00:00,1108571307644461057,% Above 52-week Low...$FB: +34%$AAPL: +33%$AMZN: +38%$NFLX: +62%$GOOGL: +25%$MSFT: +35%$QQQ: +25%% Below All-Time High...$FB: -24%$AAPL: -19%$AMZN: -12%$NFLX: -11%$GOOGL: -5%$MSFT: -1%$QQQ: -4%,113,492316,314,charliebilello
1,2019-03-16 17:38:08+00:00,1106972934852141056,$AMZN .... started a breakout from a very cool and funky lookin Inverse Head and Shoulder bottoming pattern! Look for this one to continue trekking higher from here https://t.co/xJuVh7V7Ng,47,377076,256,traderstewie
2,2019-03-07 04:20:52+00:00,1103510801799737344,What a coincidence. Amazon is now shutting all its stores... copying #Tesla now. $amzn $tsla,24,274913,210,GerberKawasaki
