,Datetime,Tweet Id,Text,Retweet Count,Followers,Likes,Username
0,2021-05-17 22:27:42+00:00,1394419384144338945,$AMZN is planning on acquiring MGM Studios*,33,293971,303,MarketRebels
1,2021-05-17 19:41:44+00:00,1394377617432850443,"AMAZON PLANS NEW 'DIAGNOSTICS' BRAND THAT OFFERS AT-HOME MEDICAL TESTS FOR COVID-19, SEXUALLY TRANSMITTED INFECTIONS, AND CLINICAL GENOMICS - INSIDER$AMZN",75,619341,612,DeItaone
2,2021-05-17 15:24:35+00:00,1394312901285105666,Sent out Hayden's Q1 2021 Investment Letter over the weekend.  The letter discusses:- Why I believe SE Asia's startup ecosystem is at an inflection point- Our sale of $AMZN- Some operational updates regarding Hayden's bizhttps://t.co/pErOOq3Nd6,48,32263,448,HaydenCapital
3,2021-05-17 14:48:17+00:00,1394303765381935109,Coming up to 11 months of $AMZN stock doing absolutely nothing.,10,44057,196,PythiaR
4,2021-05-17 11:46:12+00:00,1394257944166821889,"$AMZN Morgan Stanley Sees a Path for Amazon to Hit $6,000 In the Next 12 Months https://t.co/oNoV9tY02q",28,69125,278,BigBullCap
5,2021-05-16 21:45:00+00:00,1394046247561007108,$THETA Focus List 🛰️$AMD Calls &gt;75.03 | Puts &lt;71.63$AMZN Calls &gt;3237.91 | Puts &lt;3127.37$ETSY Calls &gt;171.12 | Puts &lt;153.8$GLD Calls &gt;174.14 | Puts &lt;170.29$SNOW Calls &gt;211.83 | Puts &lt;204.27$TSLA Calls &gt;592.87 | Puts &lt;559.65Good luck traders! https://t.co/F7WpPx0BgO,55,136789,467,ThetaWarrior
6,2021-05-15 23:45:52+00:00,1393714279841419265,"Due to size and slower growth, mega-cap tech isn't my game anymore but those stocks do look quite undervalued. Some of the most dominant, cash rich companies appear to be on sale right now. $AMZN $BABA $FB $GOOGL",73,312544,1049,saxena_puru
7,2021-05-14 20:03:07+00:00,1393295833743888388,The Results! #LottoFriday$ADBE 485C / .88 to 3.65 (+314%)$AMD 75C / .1 to .21 (+110%)$AMZN 3250C / 1.1 to 2.34 (+112%)$CHWY 68C / .4 to 1.06 (+165%)$ETSY 160C / .98 to 3.38 (+244%)$NIO 33C / .11 to .8 (+627%)What a day!! Cheers and HAGW! 🍻,14,136789,313,ThetaWarrior
8,2021-05-14 10:15:13+00:00,1393147882493054977,"Stocks to buy and hold for 3-10 years $NIO 🏎$ALPP ✈️$ABML 🪨$XPEV 🚘$AMZN 📦$GEVO ⚡️$TSLA 🚙$AAPL 📱Buy dips nows, celebrate rips later!",50,10202,415,Stocks4Youngies
9,2021-05-14 03:17:57+00:00,1393042874741055488,DISCLAIMER: HIGH RISK #LottoFriday$ADBE 485C &gt;480.46 / 465P &lt;468.5$AMD 75C &gt;73.86 / 70P &lt;71.63$AMZN 3250C &gt;3208.14 / 3100P &lt;3127.38$CHWY 68C &gt;67.24 / 65P &lt;65.35$ETSY 160C &gt;158.77 / 150P &lt;153.8$NIO  33C &gt;32.22 / 30P &lt;30.51Good luck! 🎲 https://t.co/wAgajkrZbg,33,136789,352,ThetaWarrior
10,2021-05-13 15:57:18+00:00,1392871584554110977,$PINS failed 200MA$AAPL bounced 200MA$SHOP failed 200MA$NET bounced 200MA (but retracing)$SE not yet but ER could take it there$MELI failed$AMZN failedThis is why I have stopped investing in this sector for some time. We need a character change. Everything else is a knife.,25,14163,308,JoTrader4
11,2021-05-13 13:36:26+00:00,1392836134317613060,Elon Musk isn’t going to change the future of Bitcoin in any way. The path is set and miners have every incentive to use renewable energy. Just as iCloud storing your videos or AWS stores all our websites. Data centers are the factories of today… $tsla $amzn $goog $aapl,25,274913,362,GerberKawasaki
12,2021-05-13 13:04:59+00:00,1392828217497690112,"* AMAZON HIRING 75,000 EMPLOYEES ACROSS FULFILLMENT &amp; TRANSPORTATION, WITH AVERAGE STARTING PAY OF OVER $17/HOUR &amp; SIGN-ON BONUSES OF UP TO $1,000@Reuters $AMZN",122,392498,633,carlquintanilla
