,Datetime,Tweet Id,Text,Retweet Count,Followers,Likes,Username
0,2019-09-23 18:32:10+00:00,1176202613483855872,"The first $BTC futures exchange @Bakkt launches today backed by @NYSE parent ICE, $MSFT &amp; others - what does it mean for cryptocurrency pricing now and in the future? @Bakkt COO @WhiteAdamL joins @firstmove to tell all https://t.co/eTUboaAd3b",527,93656,1524,jchatterleyCNN
1,2019-09-18 01:10:05+00:00,1174128426749452288,"Imagine launching a vegan ETF and not having $BYND as the top holding. The top 10 holdings (%) of the US Vegan Climate ETF are: $MSFT, $AAPL, $FB, $MA, $V, $UNH, $INTC, $T, $CSCO, $BACOh and their expense ratio is 0.6%... https://t.co/qwvjZdigAT",40,308521,383,RampCapitalLLC
2,2019-09-16 11:57:39+00:00,1173566614178029568,"Yesterday was the 11th anniversary of the Lehman bankruptcy. Returns if you bought tech stocks at the close that day &amp; held to today...$NFLX: +7,225%$AMZN: +2,278%$NVDA: +2,022%$AAPL: +1,150%$CRM: +1,017%$V: +1,006%$ADBE: +631%$MSFT: +568%$GOOGL: +471%$SPY: +215% https://t.co/MtbnSAMiEH",82,492315,169,charliebilello
3,2019-09-10 15:52:20+00:00,1171451346169393154,$MSFT since I was born😯Turning $1B into $126B = compounding at 17%Haven't had a single year of &gt;20% growth since the turn of the centuryBut *added* more $ of revenue last year than they had in total when the anti-trust suit began in 1998 (tiny bar boxed below) https://t.co/kI7C0F10LK,22,40004,177,andrew__reed
