,Datetime,Tweet Id,Text,Retweet Count,Followers,Likes,Username
0,2020-12-26 23:13:19+00:00,1342971783289438208,Market capsApple $AAPL $2.2 trillionMicrosoft $MSFT $1.6 trillionAmazon $AMZN $1.5 trillionGoogle $GOOGL $1.1 trillionFacebook $FB $760 billionTesla $TSLA $660 billionAlibaba $BABA $600 billionBerkshire Hathaway $530 billion#Bitcoin $490 billionVisa $V $487 billion,165,561488,790,tradingview
1,2020-12-25 23:32:29+00:00,1342614220253188096,Last 5 years$GOOGL 128%$WMT 136%$FB 155%$CRM 190%$MSFT 297%$NFLX 338%$MU 383%$AAPL 389%$LRCX 498%$NOW 537%$PYPL 544%$TWLO 1093%$TSLA 1335%$NVDA 1467%$SQ 1712%$ROKU 1819%$AMD 3044%$TTD 3385%$SHOP 4628%Which stock will bring 1000%+ next 5 years? 🧐,136,12628,881,PeterTrader99
2,2020-12-24 16:00:22+00:00,1342138054568411138,"🎅🎅🎅Dear Santa,📜 12 Dividend Stocks I Want for Christmas:🎁 $V 🎁 $PG 🎁 $JNJ 🎁 $PEP 🎁 $BEP 🎁 $AFL 🎁 $WM 🎁 $MCD 🎁 $AAPL 🎁 $ABBV 🎁 $MSFT 🎁 $MMM",24,55423,263,BusinessFamous
3,2020-12-22 14:06:31+00:00,1341384625386647552,"Hey Tesla mega-bears, what if $TSLA's stock growth curve is only where $MSFT was in 2018?This move could just be starting.This Tweet represents a ""possibility,"" not a prediction. https://t.co/65glZEGJYR",80,684311,657,PeterLBrandt
4,2020-12-21 12:47:24+00:00,1341002330565730305,A few dividend stocks I like a lot:$ACN$AMT$ATVI$BAM$BIPC$COST$HD$INTU$MA$MCO$MDT$MKC$MSCI$MSFT$NKE$RMD$SBUX$VRSK,37,405603,367,BrianFeroldi
5,2020-12-19 21:06:20+00:00,1340403113048514561,Top 10 stocks trending in conversation over the weekend:1. $TSLA2. $FUBO3. $PLTR4. $CRWD5. $APPS6. $SE7. $SQ8. $IPOC9. $NIO10. $PIC+ $AAPL $FSLY $ARKK $JMIA $MSFT $GIK $TDOCMore trends &amp; insights on Captain: https://t.co/9jLC9lq5Lg https://t.co/slCuQ1T1LG,59,29117,280,CaptFinancial
6,2020-12-18 23:17:40+00:00,1340073777573539840,"NEXT LEVEL: $TSLA just obliterated the all-time volume record for an equity w/ $148b worth of shares traded today, beating $SPY's $118b high water mark set during March chaos. For perspective, $MSFT trades about $5b/day. https://t.co/0PuVrrrjju",615,111723,2654,EricBalchunas
7,2020-12-18 20:14:45+00:00,1340027742721601537,"S&amp;P trade today on close is to buy 1.5% of $TSLA, and sell 1.5% of everything else.The market is so efficient: One hour before the close, and here are today’s prices:$TSLA +1.4%$AAPL -1.7%$MSFT -1.3%$AMZN -1.6%$GOOG -1.3%One has to appreciate the beauty of the symmetry.",75,251236,848,garyblack00
8,2020-12-18 12:46:38+00:00,1339914970591600645,"$MSFT Microsoft a Top Pick for 2021, Morgan Stanley Says; PT to $260 from $249. https://t.co/XUo7aecNah",34,76013,218,cfromhertz
9,2020-12-15 21:07:04+00:00,1338953747200880641,Here's a look at a bunch of the U.S. Mega-caps. One of these is different than the others $AMZN $AAPL $MSFT $FB $TSLA $QQQ https://t.co/7IC4HUdIIt,32,123302,240,allstarcharts
10,2020-12-15 12:30:03+00:00,1338823634132099072,"Open letter to all S&amp;P 500 benchmarked managers:On Friday 12/18 at market close, $TSLA will enter the S&amp;P 500 Index at an approximate 1.5% weight - the sixth largest weight in the S&amp;P 500 index after $AAPL, $MSFT, $AMZN, $GOOGL, and $FB.",125,251236,1079,garyblack00
