,Datetime,Tweet Id,Text,Retweet Count,Followers,Likes,Username
0,2021-06-14 15:21:14+00:00,1404458917984358401,"""The devices around us that allow us to play these video games, that number is only going to go up,"" says Xbox head @XboxP3 on the future of gaming following $MSFT's E3 presentation. https://t.co/2okYWubVeZ",58,43601,351,CNBCTechCheck
1,2021-06-07 13:30:21+00:00,1401894297939611648,"Top 10 stocks owned by hedge funds:Data from the beginning of Q2.1. $FB2. $MSFT3. $AMZN4. $GOOGL5. $GOOG6. $V7. $MA8. $DIS9. $BABA10. $PYPLIf you are looking for stocks ideas, this list is a good place to start.",62,30803,323,cadeinvests
2,2021-06-07 01:06:22+00:00,1401707071377084416,$THETA Focus List 🛰️$AAPL Calls &gt;126.16 | Puts &lt;122.25$AMZN Calls &gt;3221 | Puts &lt;3182$MSFT Calls &gt;252.94 | Puts &lt;247.51$NIO Calls &gt;43.22 | Puts &lt;40.31$OZON Calls &gt;56 | Puts &lt;54.37$PYPL Calls &gt;264.78 | Puts &lt;256.15Good luck traders! https://t.co/mdDfwsL0om,71,136789,653,ThetaWarrior
3,2021-06-06 23:54:46+00:00,1401689052143767553,$MSFT Preparing to fill the gap above. https://t.co/ITHf2CecPa,29,136789,285,ThetaWarrior
4,2021-06-02 16:50:59+00:00,1400132851794952192,$AMC's volume today is greater than all these companies combined: $TSLA $AAPL $AMZN $MSFT $FB,307,111723,1743,EricBalchunas
5,2021-05-31 23:53:25+00:00,1399514382648987648,Look around. Invest in companies whose products and services you can’t do without💳 $V☎️ $VZ🦆 $AFL💉 $JNJ⛽️ $CVX💡 $NEE🛍 $WMT📱 $AAPL💻 $MSFT🛍 $AMZNWhat else do you use everyday?,58,55423,333,BusinessFamous
6,2021-05-30 14:39:17+00:00,1399012544807849984,"5/ On FAAMG- "" $AMZN at $3200 is not a bubble stock. Not whatsoever. It’s basically decent value. I don’t just mean AMZN, but a lot of the big FAAMG names.""What could hit $5T first? #1 AMZN #2 $MSFT$GOOGL could have a big pop, ironically, if the gov't breaks them up because",18,41356,299,JSCCapital
7,2021-05-30 00:42:00+00:00,1398801833221509123,"What do you get with $1,000 in $VTI?$46 in $AAPL$44 in $MSFT $34 in $AMZN$18 in $FB$13 in $TSLA$12 in $BRK$11 in $JPMThe remaining $822 goes in 3774 other US companies.",40,30803,312,cadeinvests
8,2021-05-29 14:35:07+00:00,1398649108726943749,Let’s play my 5 versus your 5.Winner gets rich.Here are my 5 favorite #stocks for the next 5 years:$AMZN$MSFT$PYPL$DIS$RDFNWhat are your 5? Bring it on! https://t.co/PsoCW6v38V,45,10519,325,Tier1Investor
9,2021-05-28 13:13:03+00:00,1398266068427227139,If you had to build a portfolio of 7 stocks that you couldn’t touch for 10 years what would they be?My picks:$AAPL $SQ 🏦$MSFT 🖥$ASML ⚡️$DIS 🐭$NVDA ⚡️$QYLD 🖨,46,32711,533,gannonbreslin
10,2021-05-25 17:30:21+00:00,1397243654859788302,What portfolio are you taking?#1 - Income$MO$O$MMM$SPG#2 - Value$JNJ$WMT$PG$MSFT#3 - Growth$SQ$TDOC$TSLA$PLTR#4 - Crypto$BTC$ETH$DOGE$ADA,42,51201,257,TheAlphaThought
11,2021-05-25 01:23:43+00:00,1397000391905193990,The combined revenue of the 4 largest US companies hit a record $1.1 trillion over last 12 months...Apple $AAPL: $325 billionMicrosoft $MSFT: $160 billionAmazon $AMZN: $419 billionGoogle $GOOGL: $197 billionThat's larger than the GDP of all but 14 countries.Data: @ycharts https://t.co/Ij8yNPYAQF,165,492315,481,charliebilello
12,2021-05-24 22:42:22+00:00,1396959786617511948,$FB $AMZN $GOOG $MSFT https://t.co/UW4gz96Ljw,15,28374,192,MadThunderdome
13,2021-05-24 13:14:44+00:00,1396816938215563265,Invest in what people use everyday 📲 $FB Facebook 💻 $MSFT Microsoft 🏢 $SPG Simon Property Group ☕️ $SBUX Starbucks 💊 $JNJ Johnson and Johnson 🍏 $APPL Apple 🔩 $HD Home Depot 🛳 $CCL Carnival Cruise ✈️ $LUV Southwest Airlines We use all of these. BUY THEM!,44,17361,252,itsloganjones
14,2021-05-23 19:48:56+00:00,1396553756733591558,"All eyes on tech this week as $AAPL $MSFT $AMZN and $NVDA have each put in Wave 2 lows and are set to stage a Wave 3 rally higherTime targets are 6-8 Weeksif $AAPL &gt; 116-120, target 143-149if $MSFT &gt; 232, target 272-276if $AMZN &gt; 3026, target 3800if $NVDA &gt; 538, target 697 https://t.co/3eVUzvpVbb",52,29200,440,puppy_trades
15,2021-05-20 23:31:41+00:00,1395522648457809921,If I was forced to only hold 10 stocks for the rest of my life it would be the following;$RDFN$SQ$SHOP$TSLA $TWLO$AMZN$AAPL$MSFT$NVDA$SEWhat are yours?,59,57418,745,BahamaBen9
16,2021-05-18 22:25:35+00:00,1394781237588414466,"$MSFT had a market cap of $393 billion and a P/E of 53x in 2001If you purchased the stock in 2001 and HODL, you didn't breakeven until 2016 -- all while the fundamentals/per share figures were growing and improvingEntry multiples matter https://t.co/fqoDJ5itIy",140,35006,993,FocusedCompound
