,Datetime,Tweet Id,Text,Retweet Count,Followers,Likes,Username
0,2020-04-18 17:59:22+00:00,1251571036694499328,Largest US Companies by Market Cap...1) Microsoft $MSFT: $1.36 trillion2) Apple $AAPL: $1.24 trillion3) Amazon $AMZN: $1.18 trillion4) Google $GOOGL: $879 billion https://t.co/vI1MnE5zpA,96,492315,246,charliebilello
1,2020-04-18 17:44:39+00:00,1251567332989730818,Big tech returns in 2008...$MSFT: -44%$AAPL: -57%$GOOGL: -56%$AMZN: -45%Returns in 2020...$MSFT: +14%$AAPL: -3%$GOOGL: -5%$AMZN: +29%,328,492315,1233,charliebilello
2,2020-04-17 11:01:31+00:00,1251103492124672001,S&amp;P500 now more concentrated in the 5 largest stocks than ever $MSFT $AAPL $FB $GOOGL $AMZN https://t.co/0W1mMCWQ59,631,257423,1760,chigrl
3,2020-04-16 05:55:28+00:00,1250664082635517953,I figured it out. $MSFT $SPX https://t.co/1jPE4GzYCf,31,26146,286,FusionptCapital
4,2020-04-12 21:14:48+00:00,1249445890395385857,"Technology evolves in a 14 year cycle around advances in computing power‘54 - Mainframe‘68 - Microchip‘82 - PC‘96 - Internet‘10 - Mobilenet‘24 - TrustnetImagine investing in $IBM in ‘50, Fairchild in ‘64, $MSFT in ‘78, $CSCO in ‘92, $AAPL in ‘06That’s #Bitcoin today...",237,140840,1003,MarkYusko
5,2020-03-29 17:59:07+00:00,1244323215461285889,MICROSOFT: “We have seen a 775 percent increase of our cloud services in regions that have enforced social distancing or shelter in place orders.”$MSFT #COVID19 (via ⁦@MarketCurrents⁩)  https://t.co/dlccMCmz5l,53,392498,144,carlquintanilla
